objective,technology,name,id,full_only,url,geographies,location,tagline,description,contact,logo_url
14,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
22,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
12,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
4,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
17,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
15,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
20,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
7,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
6,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
6,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
5,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
9,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
11,3,8of9,1,1,www.8of9.nyc,"USA,America",USA,"We strive to build a world where regulatory compliance is automated and easy to understand. Our tools capture, store, and monitor regulatory content so you can focus on doing what you do best.","With cutting edge technology, 8of9 consultants offer global experience and local knowledge in large complex financial transactions to help you focus on the big picture and succeed in any public or private business environment.",info@8of9.nyc,/static/images/vendor-logos/8of9.png
14,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
22,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
12,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
